match_id,puuid,win,total_minions_killed,surrender,total_damage_dealt_champions,vision_score,time_played,minionsPerMinute,visionScorePerMinute,damageDealtPerMinute
NA1_5268711549,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,251,False,27548,31,33,7.61,0.94,834.79
NA1_5268654809,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,238,True,38432,21,26,9.15,0.81,1478.15
NA1_5268077440,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,354,False,50914,41,42,8.43,0.98,1212.24
NA1_5267146717,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,137,True,12359,12,15,9.13,0.8,823.93
NA1_5267102243,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,244,False,32078,24,27,9.04,0.89,1188.07
NA1_5266048243,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,235,False,39784,41,26,9.04,1.58,1530.15
NA1_5266012555,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,13,True,33751,36,29,0.45,1.24,1163.83
NA1_5265969188,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,281,True,46019,29,39,7.21,0.74,1179.97
NA1_5265933196,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,21,False,19234,40,32,0.66,1.25,601.06
NA1_5265910489,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,1,True,6173,14,15,0.07,0.93,411.53
NA1_5265875594,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,False,36,False,8919,20,27,1.33,0.74,330.33
NA1_5265839260,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,253,False,22061,20,28,9.04,0.71,787.89
NA1_5265781357,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,239,False,44586,26,29,8.24,0.9,1537.45
NA1_5265748138,cceyLZQy9agglDZRVGQX2xW9VhMjbJhY106gIr3KkpqttpPDoL-cbd-yns_mEm6zEN1YpS-19iVc8w,True,246,False,42626,27,31,7.94,0.87,1375.03
