match_id,puuid,win,total_minions_killed,surrender,total_damage_dealt_champions,vision_score,time_played,minionsPerMinute,visionScorePerMinute,damageDealtPerMinute
NA1_5273292326,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,267,False,43942,29,41,6.51,0.71,1071.76
NA1_5273271776,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,False,164,False,16081,19,29,5.66,0.66,554.52
NA1_5273249279,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,False,245,False,32784,21,36,6.81,0.58,910.67
NA1_5273232037,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,False,207,False,26969,19,27,7.67,0.7,998.85
NA1_5273213631,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,17,False,13576,68,29,0.59,2.34,468.14
NA1_5273137616,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,214,False,35121,22,33,6.48,0.67,1064.27
NA1_5273116666,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,174,True,16921,11,27,6.44,0.41,626.7
NA1_5273108312,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,198,True,17325,14,28,7.07,0.5,618.75
NA1_5272825526,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,False,22,True,30685,37,38,0.58,0.97,807.5
NA1_5254346439,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,False,13,False,6561,20,28,0.46,0.71,234.32
NA1_5254325653,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,166,False,10961,13,25,6.64,0.52,438.44
NA1_5254006782,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,303,True,38043,30,39,7.77,0.77,975.46
NA1_5253862476,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,298,False,64139,34,44,6.77,0.77,1457.7
NA1_5253836705,WHXPAbdzeqlfcwS6UAas7JeoU6_QcDRozj5jt-IBebTavqazFjUYkHm3GZE3eh4l9WQTQo_lk9Qp3A,True,239,False,32196,22,30,7.97,0.73,1073.2
